timestamp,funding_rate,trade_size,entry_spot,close_spot,entry_futures,close_futures,total_profit,funding_profit,spot_pnl,futures_pnl,fees
2024-02-13 16:00:00,0.0001,0.01,49917.27,49699.59,49943.6,49696.4,-1.1492250000000317,0.049943600000000005,-3.172968600000003,1.9737999999999711,1.4943686
2024-02-14 00:00:00,0.0001,0.01,49983.09,49838.93,50019.9,49845.0,-1.1401247999999478,0.05001990000000001,-2.4398201999999625,1.2496755000000146,1.4975447000000002
2024-02-14 08:00:00,0.0001,0.01,48727.47,51590.0,48753.1,51616.4,-1.4639691000000425,0.04875310000000001,27.62212529999999,-29.13484750000003,1.5050222
2024-02-14 16:00:00,0.0001,0.01,49699.59,51795.17,49696.4,51823.2,-1.7850491999999427,0.04969640000000001,19.94085240000002,-21.77559799999996,1.5225456
2024-02-15 00:00:00,0.0001,0.01,49838.93,51776.61,49845.0,51802.4,-1.6717474000000117,0.04984500000000001,18.360644600000004,-20.082237000000017,1.5243924
2024-02-15 08:00:00,0.0001,0.01,51590.0,51948.23,51616.4,51968.7,-1.442391399999925,0.05161640000000001,2.546917700000032,-4.040925499999957,1.5533078000000002
2024-02-15 16:00:00,0.0001,0.01,51795.17,51880.0,51823.2,51898.5,-1.4082370000000115,0.05182320000000001,-0.18845169999998246,-1.271608500000029,1.5553602
2024-02-16 00:00:00,0.00012282,0.01228,51776.61,51731.99,51802.4,51786.4,-2.180444526968992,0.07812991303104,-1.819019208000032,-0.439555232,1.90712084
2024-02-16 08:00:00,0.0001,0.01,51948.23,51888.01,51968.7,51909.3,-1.51398370000007,0.05196870000000001,-1.6405624000000116,0.07460999999994178,1.5577524000000003
2024-02-16 16:00:00,0.0001,0.01,51880.0,52124.11,51898.5,52148.6,-1.5682780999999797,0.05189850000000001,1.401058900000006,-3.0212354999999858,1.5602765999999997
2024-02-17 00:00:00,0.0001,0.01,51731.99,51911.33,51786.4,51933.9,-1.1848482999999619,0.05178640000000001,0.756966800000038,-1.9936015,1.5550346999999998
2024-02-17 08:00:00,0.0001,0.01,51888.01,50984.56,51909.3,51013.4,-1.5669299000000283,0.05190930000000001,-10.063225700000045,8.444386500000016,1.5433392000000001
2024-02-17 16:00:00,0.0001,0.01,52124.11,51642.64,52148.6,51679.4,-1.6273589000000417,0.05214860000000001,-5.852367500000012,4.172859999999971,1.5568075
2024-02-18 00:00:00,0.0001,0.01,51911.33,51671.1,51933.9,51703.7,-1.6023783999999888,0.05193390000000001,-3.438124300000032,1.7838120000000435,1.5540123000000001
2024-02-18 08:00:00,0.0001,0.01,50984.56,51773.99,51013.4,51808.9,-1.5513835999999968,0.05101340000000001,6.866714500000003,-8.4691115,1.541697
2024-02-18 16:00:00,0.0001,0.01,51642.64,52137.67,51679.4,52175.9,-1.5201002000000114,0.05167940000000001,3.9124968999999887,-5.4842765,1.5570796
2024-02-19 00:00:00,0.00016041,0.01604,51671.1,52394.04,51703.7,52423.9,-2.327326197707352,0.13303239989267998,9.926752754400036,-12.387111352000069,2.5043081976
2024-02-19 08:00:00,0.0001724,0.01724,51773.99,52127.99,51808.9,52157.5,-2.440379334033575,0.15398516916639998,4.3116898648,-6.906054367999975,2.6874605032
2024-02-19 16:00:00,0.0001530499999999,0.0153,52137.67,51774.73,52175.9,51813.8,-2.276054446126526,0.12217847887342016,-7.1428417199999235,4.744608794999977,2.3853809249999998
2024-02-20 00:00:00,0.0001709499999999,0.01709,52394.04,51839.28,52423.9,51869.2,-2.5203990934015987,0.15315828489836042,-11.262195838800036,8.588638460500077,2.6725319783000003
2024-02-20 08:00:00,0.00023064,0.02306,52127.99,51680.0,52157.5,51712.7,-3.3875943456518858,0.277402709748,-12.724461649399952,9.059464594000067,3.5914356553999998
2024-02-20 16:00:00,0.00019594,0.01959,51774.73,52258.82,51813.8,52297.4,-2.84930191140856,0.19888543709148002,7.445305855499932,-10.493493203999972,3.0577864485000004
2024-02-21 00:00:00,0.00013327,0.01332,51839.28,51568.64,51869.2,51599.9,-1.9922705580571711,0.09207594234288,-4.982318294399993,2.897971793999942,2.0664977004000002
2024-02-21 08:00:00,0.00010461,0.01046,51680.0,51156.0,51712.7,51183.7,-1.504927630378381,0.05658510162162,-6.55670456,4.995191827999999,1.613812732
2024-02-21 16:00:00,0.00010912,0.01091,52258.82,51849.39,52297.4,51877.8,-1.5308815742379407,0.06226001286208,-5.602701871100003,4.009560283999983,1.7040962871
2024-02-22 00:00:00,0.00020259,0.02025,51568.64,51827.63,51599.9,51860.6,-2.964253649244732,0.21168588075525,3.1507730324999583,-6.3267125624999405,3.14131203
2024-02-22 08:00:00,0.0001,0.01,51156.0,51602.4,51183.7,51630.0,-1.4894688000000151,0.051183700000000006,3.4364160000000146,-4.97706850000003,1.5416525
2024-02-22 16:00:00,0.00011242,0.01124,51849.39,51288.42,51877.8,51316.9,-1.6744571688177565,0.06555282958224,-7.464571784400013,5.724561786000017,1.7392231984000002
2024-02-23 00:00:00,0.0001,0.01,51827.63,50915.96,51860.6,50952.3,-1.5233398000000271,0.05186060000000001,-10.144135899999982,8.568935499999956,1.5415004
2024-02-23 08:00:00,0.0001,0.01,51602.4,50911.11,51630.0,50938.1,-1.4802455999999937,0.05163000000000001,-7.9380351000000084,6.406159500000014,1.5379756
