Time,Contract,Funding Interval,Funding Rate,Spot Closing Price,Futures Closing Price
2025-03-01 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0106%,86061.6,86226.4
2025-03-01 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0014%,84795.7,86035.9
2025-03-01 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0090%,84738.7,84777.0
2025-02-28 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0047%,84337.8,84717.3
2025-02-28 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0154%,84023.3,84340.6
2025-02-28 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0224%,79201.3,83985.7
2025-02-27 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0017%,84713.6,79193.3
2025-02-27 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0052%,85503.2,84713.7
2025-02-27 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0361%,86268.7,85522.7
2025-02-26 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0154%,84242.6,86251.9
2025-02-26 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0226%,87558.3,84245.1
2025-02-26 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0252%,88721.0,87576.7
2025-02-25 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0174%,88679.8,88728.7
2025-02-25 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0197%,87230.7,88683.9
2025-02-25 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0092%,89328.5,87239.0
2025-02-24 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0104%,91565.0,89295.0
2025-02-24 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0081%,94326.7,91572.9
2025-02-24 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0023%,95870.0,94331.4
2025-02-23 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0069%,96257.7,95865.8
2025-02-23 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0006%,95453.0,96269.0
2025-02-23 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0060%,96500.5,95435.3
2025-02-22 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0087%,96551.1,96517.4
2025-02-22 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0277%,96591.1,96540.0
2025-02-22 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0069%,96286.7,96588.7
2025-02-21 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0051%,96179.1,96254.4
2025-02-21 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0168%,98098.4,96176.4
2025-02-21 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0181%,98169.5,98098.3
2025-02-20 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0172%,98300.1,98165.9
2025-02-20 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0123%,96906.4,98279.7
2025-02-20 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0083%,96855.2,96881.9
2025-02-19 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0059%,96643.8,96842.1
2025-02-19 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0094%,95925.3,96619.2
2025-02-19 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0067%,95686.9,95944.2
