date,balance,daily_return
2024-02-12,10000.0,
2024-02-13,10000.0,0.0
2024-02-14,10000.0,0.0
2024-02-15,10000.0,0.0
2024-02-16,10000.0,0.0
2024-02-17,10000.0,0.0
2024-02-18,10000.0,0.0
2024-02-19,10000.0,0.0
2024-02-20,10000.0,0.0
2024-02-21,10000.0,0.0
2024-02-22,10000.0,0.0
2024-02-23,10000.0,0.0
2024-02-24,10000.0,0.0
2024-02-25,10000.0,0.0
2024-02-26,10000.0,0.0
2024-02-27,10000.0,0.0
2024-02-28,10000.0,0.0
2024-02-29,10000.0,0.0
2024-03-01,9999.427712398,-5.722876020008982e-05
2024-03-02,10002.46663641942,0.000303909794522772
2024-03-03,10007.608701064379,0.0005140796597347119
2024-03-04,10016.232414148148,0.0008617156546950611
2024-03-05,10018.8215097622,0.0002584899697808396
2024-03-06,10022.311124348358,0.0003483058943367645
2024-03-07,10024.801047952655,0.000248438067168788
2024-03-08,10030.151242584938,0.000533695841612225
2024-03-09,10043.884497834742,0.0013691972252121154
2024-03-10,10044.16559819264,2.7987215300839807e-05
2024-03-11,10044.692690310878,5.247744206182681e-05
2024-03-12,10047.358537265505,0.00026539855790708167
2024-03-13,10045.717192491386,-0.0001633608244427931
2024-03-14,10053.044227028802,0.0007293689835199402
2024-03-15,10064.331333692562,0.001122755098740491
2024-03-16,10066.706872630608,0.000236035446298688
2024-03-17,10071.412379387397,0.00046743257912695846
2024-03-18,10071.760352548665,3.455058219836715e-05
2024-03-19,10071.760352548665,0.0
2024-03-20,10071.760352548665,0.0
2024-03-21,10071.760352548665,0.0
2024-03-22,10071.459715772167,-2.9849476752219495e-05
2024-03-23,10071.459715772167,0.0
2024-03-24,10071.459715772167,0.0
2024-03-25,10071.459715772167,0.0
2024-03-26,10071.459715772167,0.0
2024-03-27,10071.459715772167,0.0
2024-03-28,10071.459715772167,0.0
2024-03-29,10071.459715772167,0.0
2024-03-30,10071.459715772167,0.0
2024-03-31,10071.950320885797,4.871241383819225e-05
2024-04-01,10071.950320885797,0.0
2024-04-02,10071.519465841964,-4.277771733440794e-05
2024-04-03,10071.638969627376,1.1865516997389136e-05
2024-04-04,10078.22929708506,0.0006543450850013954
2024-04-05,10078.75573801122,5.223545829746712e-05
2024-04-06,10078.75573801122,0.0
2024-04-07,10078.75573801122,0.0
2024-04-08,10078.75573801122,0.0
2024-04-09,10078.75573801122,0.0
2024-04-10,10078.75573801122,0.0
2024-04-11,10078.75573801122,0.0
2024-04-12,10078.734738622461,-2.0835298825128135e-06
2024-04-13,10078.734738622461,0.0
2024-04-14,10078.734738622461,0.0
2024-04-15,10078.734738622461,0.0
2024-04-16,10078.734738622461,0.0
2024-04-17,10078.734738622461,0.0
2024-04-18,10078.734738622461,0.0
2024-04-19,10078.734738622461,0.0
2024-04-20,10078.734738622461,0.0
2024-04-21,10078.734738622461,0.0
2024-04-22,10078.734738622461,0.0
2024-04-23,10078.734738622461,0.0
2024-04-24,10078.734738622461,0.0
2024-04-25,10078.734738622461,0.0
2024-04-26,10078.734738622461,0.0
2024-04-27,10078.734738622461,0.0
2024-04-28,10078.734738622461,0.0
2024-04-29,10078.734738622461,0.0
2024-04-30,10078.734738622461,0.0
2024-05-01,10078.734738622461,0.0
2024-05-02,10078.734738622461,0.0
2024-05-03,10078.734738622461,0.0
2024-05-04,10078.734738622461,0.0
2024-05-05,10078.734738622461,0.0
2024-05-06,10078.734738622461,0.0
2024-05-07,10078.734738622461,0.0
2024-05-08,10078.734738622461,0.0
2024-05-09,10078.734738622461,0.0
2024-05-10,10078.734738622461,0.0
2024-05-11,10078.734738622461,0.0
2024-05-12,10078.734738622461,0.0
2024-05-13,10078.734738622461,0.0
2024-05-14,10078.734738622461,0.0
2024-05-15,10078.734738622461,0.0
2024-05-16,10078.734738622461,0.0
2024-05-17,10078.734738622461,0.0
2024-05-18,10078.734738622461,0.0
2024-05-19,10078.734738622461,0.0
2024-05-20,10078.734738622461,0.0
2024-05-21,10078.734738622461,0.0
2024-05-22,10078.734738622461,0.0
2024-05-23,10078.734738622461,0.0
2024-05-24,10078.734738622461,0.0
2024-05-25,10078.734738622461,0.0
2024-05-26,10078.734738622461,0.0
2024-05-27,10078.734738622461,0.0
2024-05-28,10078.734738622461,0.0
2024-05-29,10078.734738622461,0.0
2024-05-30,10078.734738622461,0.0
2024-05-31,10078.734738622461,0.0
2024-06-01,10078.734738622461,0.0
2024-06-02,10078.734738622461,0.0
2024-06-03,10078.734738622461,0.0
2024-06-04,10078.734738622461,0.0
2024-06-05,10078.734738622461,0.0
2024-06-06,10078.734738622461,0.0
2024-06-07,10078.734738622461,0.0
2024-06-08,10078.734738622461,0.0
2024-06-09,10078.734738622461,0.0
2024-06-10,10078.734738622461,0.0
2024-06-11,10078.734738622461,0.0
2024-06-12,10078.734738622461,0.0
2024-06-13,10078.734738622461,0.0
2024-06-14,10078.734738622461,0.0
2024-06-15,10078.734738622461,0.0
2024-06-16,10078.734738622461,0.0
2024-06-17,10078.734738622461,0.0
2024-06-18,10078.734738622461,0.0
2024-06-19,10078.734738622461,0.0
2024-06-20,10078.734738622461,0.0
2024-06-21,10078.734738622461,0.0
2024-06-22,10078.734738622461,0.0
2024-06-23,10078.734738622461,0.0
2024-06-24,10078.734738622461,0.0
2024-06-25,10078.734738622461,0.0
2024-06-26,10078.734738622461,0.0
2024-06-27,10078.734738622461,0.0
2024-06-28,10078.734738622461,0.0
2024-06-29,10078.734738622461,0.0
2024-06-30,10078.734738622461,0.0
2024-07-01,10078.734738622461,0.0
