timestamp,funding_rate,trade_size,entry_spot,close_spot,entry_futures,close_futures,total_profit,funding_profit,spot_pnl,futures_pnl,entry_spot_rsi,exit_spot_rsi,entry_futures_rsi,exit_futures_rsi
2024-02-18 08:00:00,0.00016041,0.01604,51671.1,51773.99,51703.7,51808.9,3.4707959998927405,0.13303239989267998,1.6503555999999906,1.68740800000007,75.85610813146808,71.50484128465091,76.21730167756621,72.05529222609687
2024-02-18 16:00:00,0.0001724,0.01724,51773.99,52137.67,51808.9,52175.9,12.750908369166403,0.15398516916639998,6.269843200000005,6.32708,71.50484128465091,72.77134547414128,72.05529222609687,73.27408886670007
2024-02-19 16:00:00,0.0001530499999999,0.0153,52137.67,51774.73,52175.9,51813.8,-10.970933521126481,0.12217847887342016,-5.552981999999924,-5.540129999999977,72.77134547414128,49.97619240588405,73.27408886670007,50.147416334764415
2024-02-27 00:00:00,0.00021567,0.02156,54476.47,56059.08,54511.6,56100.0,68.62044610160436,0.25347050160431994,34.121071600000015,34.24590400000003,71.79218428630199,79.97143195317209,71.65425080049664,79.88367428800642
2024-02-27 08:00:00,0.00027227,0.02722,56059.08,56745.66,56100.0,56775.0,37.47797532534005,0.41576772534000006,18.688707600000047,18.3735,79.97143195317209,84.94879269623495,79.88367428800642,84.80531571630806
2024-02-27 16:00:00,0.0003226199999999,0.03226,56745.66,57037.34,56775.0,57074.5,19.662365171129586,0.5908983711298168,9.409596799999774,9.661869999999999,84.94879269623495,89.6118653500201,84.80531571630806,89.36701046837621
2024-02-28 00:00:00,0.00073521,0.05,57037.34,58241.1,57074.5,58300.0,123.56108715725011,2.09808715725,60.1880000000001,61.275000000000006,89.6118653500201,91.06156329931514,89.36701046837621,90.95815112772753
2024-02-28 08:00:00,0.00022965,0.02296,58241.1,60966.22,58300.0,61000.0,124.86815734120006,0.30740214120000003,62.56875520000006,61.992000000000004,91.06156329931514,94.50659495966917,90.95815112772753,94.3893272226996
2024-02-28 16:00:00,0.00026729,0.02672,60966.22,62432.1,61000.0,62487.9,79.36066291679998,0.43566131680000003,39.168313599999934,39.75668800000004,94.50659495966917,95.00320789538301,94.3893272226996,94.9025700068607
2024-02-29 00:00:00,0.00023682,0.02368,62432.1,62707.17,62487.9,62761.5,13.342931344438998,0.35042574443904,6.513657599999993,6.4788479999999655,95.00320789538301,95.0981115860486,94.9025700068607,95.00065740117712
