date,balance,daily_return
2024-02-17,10000.0,
2024-02-18,10000.0,0.0
2024-02-19,10016.221704369058,0.0016221704369057122
2024-02-20,10005.250770847932,-0.0010953165619668193
2024-02-21,10005.250770847932,0.0
2024-02-22,10005.250770847932,0.0
2024-02-23,10005.250770847932,0.0
2024-02-24,10005.250770847932,0.0
2024-02-25,10005.250770847932,0.0
2024-02-26,10005.250770847932,0.0
2024-02-27,10073.871216949536,0.006858443398694458
2024-02-28,10254.572644603255,0.017937635270707464
2024-02-29,10472.144396205695,0.021217047179137527
2024-03-01,10350.886768719296,-0.01157906374269757
2024-03-02,10414.496328089695,0.006145324626932291
2024-03-03,10370.956407633545,-0.004180703423814713
2024-03-04,10519.529400068936,0.014325871847849392
2024-03-05,10988.224636345223,0.04455477221948878
2024-03-06,10852.615504943775,-0.012341314078427201
2024-03-07,10825.236852647275,-0.0025227699520017355
2024-03-08,10825.236852647275,0.0
2024-03-09,10825.236852647275,0.0
2024-03-10,10825.236852647275,0.0
2024-03-11,11027.14516786857,0.018651630257117136
2024-03-12,11133.132108598196,0.00961145782667816
2024-03-13,11203.99894961345,0.006365400169869639
2024-03-14,11229.15806724969,0.0022455480181124976
2024-03-15,10796.235512264684,-0.038553429597508515
2024-03-16,10796.235512264684,0.0
2024-03-17,10796.235512264684,0.0
2024-03-18,11047.924527357874,0.023312664382623804
2024-03-19,11047.924527357874,0.0
2024-03-20,11047.924527357874,0.0
2024-03-21,11368.113611303803,0.028981831216627896
2024-03-22,11368.113611303803,0.0
2024-03-23,11368.113611303803,0.0
2024-03-24,11368.113611303803,0.0
2024-03-25,11368.113611303803,0.0
2024-03-26,11368.113611303803,0.0
2024-03-27,11368.113611303803,0.0
2024-03-28,11412.980782030081,0.003946756010748009
2024-03-29,11467.592015065236,0.0047850105137425825
2024-03-30,11412.475454745705,-0.004806288909399936
2024-03-31,11412.475454745705,0.0
2024-04-01,11412.475454745705,0.0
2024-04-02,11412.475454745705,0.0
2024-04-03,11412.475454745705,0.0
2024-04-04,11433.209303147058,0.001816770470488116
2024-04-05,11433.209303147058,0.0
2024-04-06,11433.209303147058,0.0
2024-04-07,11433.209303147058,0.0
2024-04-08,11433.265038447058,4.874860463299768e-06
2024-04-09,11451.951299547058,0.0016343766227024936
2024-04-10,11402.391977947058,-0.00432758752667417
2024-04-11,11402.391977947058,0.0
2024-04-12,11402.391977947058,0.0
2024-04-13,11402.391977947058,0.0
2024-04-14,11402.391977947058,0.0
2024-04-15,11436.591217647057,0.002999303985176338
2024-04-16,11436.591217647057,0.0
2024-04-17,11376.162658347057,-0.0052837911358375456
2024-04-18,11376.162658347057,0.0
2024-04-19,11376.162658347057,0.0
2024-04-20,11376.162658347057,0.0
2024-04-21,11376.162658347057,0.0
2024-04-22,11376.162658347057,0.0
2024-04-23,11376.162658347057,0.0
2024-04-24,11376.162658347057,0.0
2024-04-25,11376.162658347057,0.0
2024-04-26,11376.162658347057,0.0
2024-04-27,11376.162658347057,0.0
2024-04-28,11376.162658347057,0.0
2024-04-29,11387.910086747057,0.0010326354107974556
2024-04-30,11387.910086747057,0.0
2024-05-01,11387.910086747057,0.0
2024-05-02,11391.408468747057,0.0003072014068736806
2024-05-03,11438.901833947057,0.004169226775626589
2024-05-04,11438.901833947057,0.0
2024-05-05,11438.901833947057,0.0
2024-05-06,11438.901833947057,0.0
2024-05-07,11438.901833947057,0.0
2024-05-08,11438.901833947057,0.0
2024-05-09,11438.901833947057,0.0
2024-05-10,11438.901833947057,0.0
2024-05-11,11438.901833947057,0.0
2024-05-12,11438.901833947057,0.0
2024-05-13,11438.901833947057,0.0
2024-05-14,11438.901833947057,0.0
2024-05-15,11438.901833947057,0.0
2024-05-16,11468.679419447057,0.0026031856844535017
2024-05-17,11468.679419447057,0.0
2024-05-18,11468.679419447057,0.0
2024-05-19,11468.679419447057,0.0
2024-05-20,11468.679419447057,0.0
2024-05-21,11468.679419447057,0.0
2024-05-22,11468.679419447057,0.0
2024-05-23,11481.146394347057,0.0010870453732327867
2024-05-24,11481.146394347057,0.0
2024-05-25,11481.146394347057,0.0
2024-05-26,11481.146394347057,0.0
2024-05-27,11481.146394347057,0.0
2024-05-28,11481.146394347057,0.0
2024-05-29,11481.146394347057,0.0
2024-05-30,11481.146394347057,0.0
2024-05-31,11481.146394347057,0.0
2024-06-01,11481.146394347057,0.0
2024-06-02,11481.146394347057,0.0
2024-06-03,11481.146394347057,0.0
2024-06-04,11481.146394347057,0.0
2024-06-05,11481.146394347057,0.0
2024-06-06,11477.117557482265,-0.000350908935955796
2024-06-07,11474.340475420753,-0.00024196685688737674
2024-06-08,11481.014353265975,0.000581634984556878
2024-06-09,11447.391203265975,-0.0029285870538463543
2024-06-10,11447.391203265975,0.0
2024-06-11,11412.689428565975,-0.0030314133660515052
2024-06-12,11410.265510565974,-0.0002123879752596869
2024-06-13,11504.542046665974,0.008262431405535509
2024-06-14,11504.542046665974,0.0
2024-06-15,11504.542046665974,0.0
2024-06-16,11504.542046665974,0.0
2024-06-17,11504.542046665974,0.0
2024-06-18,11494.604293965975,-0.0008638112373086093
2024-06-19,11481.398635865975,-0.001148857130030323
2024-06-20,11481.398635865975,0.0
2024-06-21,11481.398635865975,0.0
2024-06-22,11481.398635865975,0.0
2024-06-23,11481.398635865975,0.0
2024-06-24,11481.398635865975,0.0
2024-06-25,11481.398635865975,0.0
2024-06-26,11511.628009465974,0.0026328999243669937
2024-06-27,11511.628009465974,0.0
2024-06-28,11539.258455965974,0.0024002205836810564
