timestamp,funding_rate,position,entry_price,exit_price,profit
2021-03-15 16:00:00,0.0010521,long,100,100,0.0
2021-03-15 08:00:00,0.0008201,long,100,100,0.0
2021-03-15 00:00:00,0.00115069,long,100,100,0.0
2021-03-14 16:00:00,0.0008459300000000001,long,100,100,0.0
2021-03-14 08:00:00,0.00081828,long,100,100,0.0
2021-03-14 00:00:00,0.0005711399999999999,long,100,100,0.0
2021-03-13 16:00:00,0.00060566,long,100,100,0.0
2021-03-13 00:00:00,0.00051199,long,100,100,0.0
2021-03-12 16:00:00,0.00067147,long,100,100,0.0
2021-03-12 08:00:00,0.00102002,long,100,100,0.0
2021-03-12 00:00:00,0.00085439,long,100,100,0.0
2021-03-11 16:00:00,0.00099305,long,100,100,0.0
2021-03-11 08:00:00,0.00095931,long,100,100,0.0
2021-03-11 00:00:00,0.00056915,long,100,100,0.0
2021-03-10 00:00:00,0.00057038,long,100,100,0.0
2021-03-09 08:00:00,0.00072419,long,100,100,0.0
2021-02-24 16:00:00,0.00051791,long,100,100,0.0
2021-02-23 00:00:00,0.00077864,long,100,100,0.0
2021-02-22 16:00:00,0.0009178200000000001,long,100,100,0.0
2021-02-22 08:00:00,0.00117049,long,100,100,0.0
2021-02-22 00:00:00,0.0012582,long,100,100,0.0
2021-02-21 16:00:00,0.00099022,long,100,100,0.0
2021-02-21 08:00:00,0.00100357,long,100,100,0.0
2021-02-21 00:00:00,0.00122535,long,100,100,0.0
2021-02-20 16:00:00,0.00116465,long,100,100,0.0
2021-02-20 08:00:00,0.00156317,long,100,100,0.0
2021-02-20 00:00:00,0.00128791,long,100,100,0.0
2021-02-19 16:00:00,0.00084526,long,100,100,0.0
2021-02-19 08:00:00,0.00091255,long,100,100,0.0
2021-02-19 00:00:00,0.0012584100000000002,long,100,100,0.0
2021-02-18 16:00:00,0.00154303,long,100,100,0.0
2021-02-18 08:00:00,0.00132249,long,100,100,0.0
2021-02-18 00:00:00,0.00147112,long,100,100,0.0
2021-02-17 16:00:00,0.00093435,long,100,100,0.0
2021-02-17 08:00:00,0.00104065,long,100,100,0.0
2021-02-17 00:00:00,0.00141818,long,100,100,0.0
2021-02-16 16:00:00,0.00123546,long,100,100,0.0
2021-02-16 08:00:00,0.000996,long,100,100,0.0
2021-02-16 00:00:00,0.00068133,long,100,100,0.0
2021-02-15 08:00:00,0.00117859,long,100,100,0.0
2021-02-15 00:00:00,0.00149489,long,100,100,0.0
2021-02-14 16:00:00,0.00146185,long,100,100,0.0
2021-02-14 08:00:00,0.00085048,long,100,100,0.0
2021-02-14 00:00:00,0.00075946,long,100,100,0.0
2021-02-13 16:00:00,0.00141609,long,100,100,0.0
2021-02-13 08:00:00,0.00139999,long,100,100,0.0
2021-02-13 00:00:00,0.00105532,long,100,100,0.0
2021-02-12 16:00:00,0.0012563,long,100,100,0.0
2021-02-12 08:00:00,0.00128772,long,100,100,0.0
2021-02-12 00:00:00,0.0017410999999999998,long,100,100,0.0
2021-02-11 16:00:00,0.00083069,long,100,100,0.0
2021-02-11 08:00:00,0.00076742,long,100,100,0.0
2021-02-11 00:00:00,0.00112397,long,100,100,0.0
2021-02-10 16:00:00,0.0017535,long,100,100,0.0
2021-02-10 08:00:00,0.00124313,long,100,100,0.0
2021-02-10 00:00:00,0.00161159,long,100,100,0.0
2021-02-09 16:00:00,0.00186573,long,100,100,0.0
2021-02-09 08:00:00,0.00131125,long,100,100,0.0
2021-02-09 00:00:00,0.00248993,long,100,100,0.0
2021-02-08 16:00:00,0.00057887,long,100,100,0.0
2021-02-08 08:00:00,0.00059267,long,100,100,0.0
2021-02-08 00:00:00,0.0010620599999999999,long,100,100,0.0
2021-02-07 16:00:00,0.0006512099999999999,long,100,100,0.0
2021-02-07 08:00:00,0.0015554599999999998,long,100,100,0.0
2021-02-07 00:00:00,0.0010237,long,100,100,0.0
2021-02-06 16:00:00,0.00069827,long,100,100,0.0
2021-02-06 00:00:00,0.00099153,long,100,100,0.0
2021-02-05 16:00:00,0.00074838,long,100,100,0.0
2021-02-05 08:00:00,0.00056635,long,100,100,0.0
2021-02-05 00:00:00,0.00061936,long,100,100,0.0
2021-02-04 16:00:00,0.00074286,long,100,100,0.0
2021-02-04 00:00:00,0.0007528700000000001,long,100,100,0.0
2021-02-03 16:00:00,0.00080805,long,100,100,0.0
2021-02-03 08:00:00,0.00077297,long,100,100,0.0
2021-02-03 00:00:00,0.00122181,long,100,100,0.0
2021-02-02 00:00:00,0.00066848,long,100,100,0.0
2021-01-31 08:00:00,0.00054944,long,100,100,0.0
2021-01-31 00:00:00,0.00052428,long,100,100,0.0
2021-01-30 00:00:00,0.00166789,long,100,100,0.0
2021-01-29 16:00:00,0.00064803,long,100,100,0.0
2021-01-25 16:00:00,0.00052253,long,100,100,0.0
2021-01-20 08:00:00,0.00088177,long,100,100,0.0
2021-01-20 00:00:00,0.00158467,long,100,100,0.0
2021-01-19 16:00:00,0.0014008999999999998,long,100,100,0.0
2021-01-19 08:00:00,0.00061669,long,100,100,0.0
2021-01-19 00:00:00,0.0010355,long,100,100,0.0
2021-01-18 08:00:00,0.00055375,long,100,100,0.0
2021-01-17 00:00:00,0.00068496,long,100,100,0.0
2021-01-16 00:00:00,0.00118184,long,100,100,0.0
2021-01-15 16:00:00,0.00064483,long,100,100,0.0
2021-01-15 08:00:00,0.0005562799999999999,long,100,100,0.0
2021-01-15 00:00:00,0.00068503,long,100,100,0.0
2021-01-14 16:00:00,0.00072627,long,100,100,0.0
2021-01-14 08:00:00,0.00078331,long,100,100,0.0
2021-01-14 00:00:00,0.0007053,long,100,100,0.0
2021-01-13 00:00:00,0.00054945,long,100,100,0.0
2021-01-12 16:00:00,0.00050855,long,100,100,0.0
2021-01-12 00:00:00,0.00053444,long,100,100,0.0
2021-01-11 16:00:00,0.00081553,long,100,100,0.0
2021-01-11 08:00:00,0.00086486,long,100,100,0.0
