date,balance,cross_ex_daily_return
2024-03-01,10000.0,
2024-03-02,10000.0,0.0
2024-03-03,9972.635659168875,-0.0027364340831125267
2024-03-04,9972.635659168875,0.0
2024-03-05,9972.635659168875,0.0
2024-03-06,9972.635659168875,0.0
2024-03-07,9972.635659168875,0.0
2024-03-08,9972.635659168875,0.0
2024-03-09,9972.635659168875,0.0
2024-03-10,9972.635659168875,0.0
2024-03-11,9972.635659168875,0.0
2024-03-12,9972.635659168875,0.0
2024-03-13,9972.635659168875,0.0
2024-03-14,9972.635659168875,0.0
2024-03-15,9997.995596974617,0.002542952402199372
2024-03-16,9947.703502515877,-0.005030217704232509
2024-03-17,9947.703502515877,0.0
2024-03-18,9947.703502515877,0.0
2024-03-19,9947.703502515877,0.0
2024-03-20,9947.703502515877,0.0
2024-03-21,9947.703502515877,0.0
2024-03-22,9947.703502515877,0.0
2024-03-23,9947.703502515877,0.0
2024-03-24,9947.703502515877,0.0
2024-03-25,9947.703502515877,0.0
2024-03-26,9947.703502515877,0.0
2024-03-27,9947.703502515877,0.0
2024-03-28,9947.703502515877,0.0
2024-03-29,9947.703502515877,0.0
2024-03-30,9947.703502515877,0.0
2024-03-31,9947.703502515877,0.0
2024-04-01,9947.703502515877,0.0
2024-04-02,9947.703502515877,0.0
2024-04-03,9947.703502515877,0.0
2024-04-04,9920.66358704319,-0.0027182068168647433
2024-04-05,9920.66358704319,0.0
2024-04-06,9920.66358704319,0.0
2024-04-07,9920.66358704319,0.0
2024-04-08,9920.66358704319,0.0
2024-04-09,9939.653048423032,0.0019141321760616226
2024-04-10,9915.991128325619,-0.002380557951282447
2024-04-11,9915.991128325619,0.0
2024-04-12,9915.991128325619,0.0
2024-04-13,9915.991128325619,0.0
2024-04-14,9900.653502221756,-0.0015467567392279946
2024-04-15,9900.653502221756,0.0
2024-04-16,9900.653502221756,0.0
2024-04-17,9900.653502221756,0.0
2024-04-18,9889.84849113071,-0.0010913432218006003
2024-04-19,9889.84849113071,0.0
2024-04-20,9889.84849113071,0.0
2024-04-21,9889.84849113071,0.0
2024-04-22,9889.84849113071,0.0
2024-04-23,9889.84849113071,0.0
2024-04-24,9889.84849113071,0.0
2024-04-25,9889.84849113071,0.0
2024-04-26,9889.84849113071,0.0
2024-04-27,9889.84849113071,0.0
2024-04-28,9884.394357642372,-0.0005514880731720684
2024-04-29,9874.444534741322,-0.0010066193780863264
2024-04-30,9874.444534741322,0.0
2024-05-01,9874.444534741322,0.0
2024-05-02,9874.444534741322,0.0
2024-05-03,9874.444534741322,0.0
2024-05-04,9874.444534741322,0.0
2024-05-05,9874.444534741322,0.0
2024-05-06,9874.444534741322,0.0
2024-05-07,9874.444534741322,0.0
2024-05-08,9874.444534741322,0.0
2024-05-09,9874.444534741322,0.0
2024-05-10,9874.444534741322,0.0
2024-05-11,9874.444534741322,0.0
2024-05-12,9874.444534741322,0.0
2024-05-13,9874.444534741322,0.0
2024-05-14,9874.444534741322,0.0
2024-05-15,9874.444534741322,0.0
2024-05-16,9874.444534741322,0.0
2024-05-17,9874.444534741322,0.0
2024-05-18,9874.444534741322,0.0
2024-05-19,9874.444534741322,0.0
2024-05-20,9874.444534741322,0.0
2024-05-21,9874.444534741322,0.0
2024-05-22,9874.444534741322,0.0
2024-05-23,9874.444534741322,0.0
2024-05-24,9874.444534741322,0.0
2024-05-25,9874.444534741322,0.0
2024-05-26,9874.444534741322,0.0
2024-05-27,9851.226719817756,-0.002351303391484816
2024-05-28,9851.226719817756,0.0
2024-05-29,9851.226719817756,0.0
2024-05-30,9851.226719817756,0.0
2024-05-31,9851.226719817756,0.0
2024-06-01,9851.226719817756,0.0
2024-06-02,9851.226719817756,0.0
2024-06-03,9830.881502826884,-0.002065247056992736
2024-06-04,9843.205170623567,0.0012535669149444928
2024-06-05,9843.205170623567,0.0
2024-06-06,9843.205170623567,0.0
2024-06-07,9843.205170623567,0.0
2024-06-08,9843.205170623567,0.0
2024-06-09,9843.205170623567,0.0
2024-06-10,9817.735936611767,-0.0025874939687137166
2024-06-11,9817.735936611767,0.0
2024-06-12,9817.735936611767,0.0
2024-06-13,9841.351486465526,0.0024053967234638485
2024-06-14,9829.082796385468,-0.0012466468753739024
2024-06-15,9814.21692934284,-0.0015124368520016418
2024-06-16,9814.21692934284,0.0
2024-06-17,9814.21692934284,0.0
2024-06-18,9814.21692934284,0.0
2024-06-19,9814.21692934284,0.0
2024-06-20,9814.21692934284,0.0
2024-06-21,9814.21692934284,0.0
2024-06-22,9814.21692934284,0.0
2024-06-23,9814.21692934284,0.0
2024-06-24,9814.21692934284,0.0
2024-06-25,9814.21692934284,0.0
2024-06-26,9814.21692934284,0.0
2024-06-27,9793.792362053524,-0.002081120423194416
2024-06-28,9800.199898195373,0.0006542446383359657
2024-06-29,9800.199898195373,0.0
2024-06-30,9800.199898195373,0.0
2024-07-01,9800.199898195373,0.0
2024-07-02,9800.199898195373,0.0
2024-07-03,9800.199898195373,0.0
2024-07-04,9800.199898195373,0.0
2024-07-05,9800.199898195373,0.0
2024-07-06,9800.199898195373,0.0
2024-07-07,9800.199898195373,0.0
2024-07-08,9800.199898195373,0.0
2024-07-09,9800.199898195373,0.0
2024-07-10,9800.199898195373,0.0
2024-07-11,9800.199898195373,0.0
2024-07-12,9800.199898195373,0.0
2024-07-13,9800.199898195373,0.0
2024-07-14,9800.199898195373,0.0
2024-07-15,9800.199898195373,0.0
2024-07-16,9800.199898195373,0.0
2024-07-17,9800.199898195373,0.0
2024-07-18,9800.199898195373,0.0
