coin,trade_size,entry_time,exit_time,entry_spot,exit_spot,entry_futures,exit_futures,funding_rate,funding_profit,fees,total_pnl,pnl_pct,hours_held,direction,position_type
ETH,103.32897,2024-03-27 00:00:00,2024-03-31 00:00:00,3565.21,3625.38,3567.55,3630.17,0.00024667,1091.163295344237,1036.86033588732,-198.85301704306426,-0.0005394361110565564,96.0,positive,Short Futures / Long Spot
ETH,101.33051,2024-03-26 00:00:00,2024-04-02 16:00:00,3635.13,3278.96,3637.91,3280.76,0.00039028,3308.9965278529603,1002.6520208226801,2405.6484068302443,0.0065258933949437015,184.0,positive,Short Futures / Long Spot
ETH,102.6931,2024-03-26 16:00:00,2024-04-02 16:00:00,3587.33,3278.96,3589.64,3280.76,0.00026242,2031.460517389617,1006.3172086508001,1077.5167897387892,0.0029230206663620113,168.0,positive,Short Futures / Long Spot
ETH,105.17328,2024-03-27 16:00:00,2024-04-03 16:00:00,3501.19,3310.83,3504.99,3313.29,0.00035332,2735.1409896681175,1015.2389339193601,1860.834250948728,0.005047955173281442,168.0,positive,Short Futures / Long Spot
ETH,103.04792,2024-03-28 00:00:00,2024-04-04 00:00:00,3573.88,3322.79,3577.28,3324.8,0.00038952,3015.374242946108,1010.6527801920001,2147.958071554096,0.005826847274353668,168.0,positive,Short Futures / Long Spot
ETH,102.92363,2024-03-28 08:00:00,2024-04-04 08:00:00,3578.7,3364.12,3581.6,3366.11,0.00035672,2761.4611033539127,1013.8273975054401,1841.2942091484545,0.0049949484565556795,168.0,positive,Short Futures / Long Spot
ETH,103.43219,2024-03-28 16:00:00,2024-04-04 16:00:00,3560.49,3327.4,3563.99,3329.65,0.00036879,2854.898208711841,1012.0529494929999,1972.1354967188433,0.005349886311156884,168.0,positive,Short Futures / Long Spot
ETH,104.65403,2024-03-29 00:00:00,2024-04-05 00:00:00,3519.43,3287.61,3522.38,3289.18,0.00034117,2641.0844821586393,1012.0258195221201,1773.4812240365768,0.004810989750282636,168.0,positive,Short Futures / Long Spot
ETH,105.61744,2024-03-29 08:00:00,2024-04-05 08:00:00,3488.53,3326.43,3490.25,3328.52,0.00030332,2348.077972889611,1018.1390250374401,1290.8604950521335,0.0035017661285007213,168.0,positive,Short Futures / Long Spot
ETH,104.9496,2024-03-29 16:00:00,2024-04-05 16:00:00,3509.74,3317.85,3512.46,3319.66,0.00037327,2889.5788930136587,1015.4092095168,1969.673819496891,0.005343208699373176,168.0,positive,Short Futures / Long Spot
