coin,trade_size,entry_time,exit_time,entry_spot,exit_spot,entry_futures,exit_futures,funding_rate,funding_profit,fees,total_pnl,pnl_pct,hours_held,direction,position_type
SOL,2961.11825,2024-02-25 08:00:00,2024-03-03 08:00:00,102.78,129.36,102.851,129.451,0.00041614,2661.4788979512364,915.3432423346001,1686.9132906166872,0.005538963334727102,168.0,positive,Short Futures / Long Spot
SOL,2793.60684,2024-02-26 16:00:00,2024-03-04 16:00:00,109.9,133.27,110.034,133.45,0.00038701,2498.237182873972,912.2802496703998,1457.4510185636418,0.0047413474484252595,168.0,positive,Short Futures / Long Spot
SOL,2954.52266,2024-02-26 00:00:00,2024-03-07 08:00:00,103.3,145.91,103.392,146.06,0.00055329,5239.487110969305,955.63444533168,4112.490351357605,0.013462652333642768,248.0,positive,Short Futures / Long Spot
SOL,2915.1775,2024-02-26 08:00:00,2024-03-07 16:00:00,104.97,143.82,105.087,143.997,0.00055349,5256.364457756424,947.833815924,4133.619991832377,0.013493249522110099,248.0,positive,Short Futures / Long Spot
SOL,2800.55314,2024-02-27 00:00:00,2024-03-08 08:00:00,110.41,145.35,110.479,145.549,0.00060184,5772.531280368112,944.512311553888,4463.947060614199,0.01442764617854969,248.0,positive,Short Futures / Long Spot
SOL,2902.41138,2024-02-27 08:00:00,2024-03-08 16:00:00,106.81,144.79,106.885,144.879,0.00069189,6653.87253935649,956.411885654016,5656.826894382494,0.018234638556860243,248.0,positive,Short Futures / Long Spot
SOL,2870.56996,2024-02-27 16:00:00,2024-03-09 00:00:00,108.36,148.33,108.45,148.457,0.00051508,4970.889085680492,963.0348853725759,3901.6431117879815,0.01253285021668993,248.0,positive,Short Futures / Long Spot
SOL,2360.74833,2024-03-01 00:00:00,2024-03-11 08:00:00,131.92,147.06,132.066,147.2,0.00060436,5841.14680790836,900.861562728,4954.449735160424,0.015891127470810257,248.0,positive,Short Futures / Long Spot
SOL,2378.62884,2024-03-01 08:00:00,2024-03-11 16:00:00,131.18,148.83,131.371,149.062,0.00061591,5966.3006638401075,907.7076001808639,4961.0692812192465,0.015876293024411788,248.0,positive,Short Futures / Long Spot
SOL,2404.38818,2024-03-02 16:00:00,2024-03-13 00:00:00,130.02,150.74,130.184,150.911,0.00063147,6127.405363738094,915.516002032784,5195.058644445298,0.016596948971302122,248.0,positive,Short Futures / Long Spot
SOL,2429.73088,2024-03-03 08:00:00,2024-03-13 16:00:00,129.36,163.9,129.451,164.055,0.0005416,5280.851224709257,947.50757288832,4177.8408755008895,0.013282759573892675,248.0,positive,Short Futures / Long Spot
SOL,2366.75008,2024-03-04 16:00:00,2024-03-15 00:00:00,133.27,176.07,133.45,176.253,0.00073074,7154.767956513037,964.5510078033919,6183.116698469609,0.019576563829149383,248.0,positive,Short Futures / Long Spot
SOL,2262.50344,2024-03-09 00:00:00,2024-03-16 00:00:00,148.33,192.94,148.457,192.97,0.00048054,3389.5244197021643,1020.4705015638401,2588.516751818278,0.007706568652067464,168.0,positive,Short Futures / Long Spot
SOL,2187.75873,2024-03-07 08:00:00,2024-03-17 16:00:00,145.91,201.86,146.06,201.962,0.00054339,5382.748114512121,991.907055491208,4495.853478060987,0.014069589520745133,248.0,positive,Short Futures / Long Spot
SOL,2244.93773,2024-03-07 16:00:00,2024-03-18 00:00:00,143.82,203.22,143.997,203.337,0.00052411,5252.207592953048,1010.917011221208,4375.986845531902,0.01353687019708763,248.0,positive,Short Futures / Long Spot
SOL,2248.60253,2024-03-08 08:00:00,2024-03-19 00:00:00,145.35,186.14,145.549,186.236,0.00055843,5848.448105404481,988.685348092664,5091.368817901852,0.015556526655902929,256.0,positive,Short Futures / Long Spot
