date,balance,daily_return
2024-02-12,10000.0,
2024-02-13,10000.0,0.0
2024-02-14,10000.0,0.0
2024-02-15,10000.0,0.0
2024-02-16,10000.0,0.0
2024-02-17,9999.684491002541,-3.155089974593572e-05
2024-02-18,9999.684491002541,0.0
2024-02-19,9999.684491002541,0.0
2024-02-20,9999.446980962182,-2.3751753425060862e-05
2024-02-21,9999.446980962182,0.0
2024-02-22,9999.446980962182,0.0
2024-02-23,9999.446980962182,0.0
2024-02-24,9999.446980962182,0.0
2024-02-25,9999.14043480967,-3.065631060361618e-05
2024-02-26,9996.770453972955,-0.00023701845695300872
2024-02-27,9992.02998858543,-0.0004741996837229756
2024-02-28,9991.040857782558,-9.899197700580231e-05
2024-02-29,9978.79051356559,-0.0012261329316280989
2024-03-01,9968.856250676577,-0.0009955377733911197
2024-03-02,9963.69156301343,-0.0005180822687453901
2024-03-03,9955.489549436992,-0.0008231902327130447
2024-03-04,9947.018528088436,-0.0008508894822791824
2024-03-05,9935.905954713757,-0.0011171763019541814
2024-03-06,9928.64999001995,-0.0007302771108017581
2024-03-07,9923.431387147855,-0.0005256105187856353
2024-03-08,9914.04361544146,-0.0009460207200659987
2024-03-09,9909.443299622331,-0.0004640201311968406
2024-03-10,9904.393693886892,-0.0005095751176690255
2024-03-11,9893.466204995853,-0.0011032971051809781
2024-03-12,9882.351317623263,-0.0011234573548124516
2024-03-13,9876.350685682377,-0.0006072069032988514
2024-03-14,9871.46576181778,-0.0004946081827246207
2024-03-15,9869.257408298912,-0.0002237108016329703
2024-03-16,9869.257408298912,0.0
2024-03-17,9869.257408298912,0.0
2024-03-18,9869.257408298912,0.0
2024-03-19,9869.257408298912,0.0
2024-03-20,9869.257408298912,0.0
2024-03-21,9869.257408298912,0.0
2024-03-22,9869.257408298912,0.0
2024-03-23,9869.257408298912,0.0
2024-03-24,9869.257408298912,0.0
2024-03-25,9869.257408298912,0.0
2024-03-26,9869.257408298912,0.0
2024-03-27,9869.257408298912,0.0
2024-03-28,9867.353331429807,-0.00019293010510634812
2024-03-29,9866.882624395854,-4.770347408700193e-05
2024-03-30,9865.140074390858,-0.00017660593232227129
2024-03-31,9862.60710108559,-0.0002567599938944065
2024-04-01,9855.990877160604,-0.0006708392473890878
2024-04-02,9855.990877160604,0.0
2024-04-03,9855.990877160604,0.0
2024-04-04,9855.990877160604,0.0
2024-04-05,9855.990877160604,0.0
2024-04-06,9855.990877160604,0.0
2024-04-07,9855.990877160604,0.0
2024-04-08,9855.990877160604,0.0
2024-04-09,9855.990877160604,0.0
2024-04-10,9855.990877160604,0.0
2024-04-11,9855.990877160604,0.0
2024-04-12,9855.990877160604,0.0
2024-04-13,9855.990877160604,0.0
2024-04-14,9855.990877160604,0.0
2024-04-15,9855.990877160604,0.0
2024-04-16,9855.990877160604,0.0
2024-04-17,9855.990877160604,0.0
2024-04-18,9855.990877160604,0.0
2024-04-19,9855.990877160604,0.0
2024-04-20,9855.990877160604,0.0
2024-04-21,9855.990877160604,0.0
2024-04-22,9855.990877160604,0.0
2024-04-23,9855.990877160604,0.0
2024-04-24,9855.990877160604,0.0
2024-04-25,9855.990877160604,0.0
2024-04-26,9855.990877160604,0.0
2024-04-27,9855.990877160604,0.0
2024-04-28,9855.990877160604,0.0
2024-04-29,9855.990877160604,0.0
2024-04-30,9855.990877160604,0.0
2024-05-01,9855.990877160604,0.0
2024-05-02,9855.990877160604,0.0
2024-05-03,9855.990877160604,0.0
2024-05-04,9855.990877160604,0.0
2024-05-05,9855.990877160604,0.0
2024-05-06,9855.990877160604,0.0
2024-05-07,9855.990877160604,0.0
2024-05-08,9855.990877160604,0.0
2024-05-09,9855.990877160604,0.0
2024-05-10,9855.990877160604,0.0
2024-05-11,9855.990877160604,0.0
2024-05-12,9855.990877160604,0.0
2024-05-13,9855.990877160604,0.0
2024-05-14,9855.990877160604,0.0
2024-05-15,9855.990877160604,0.0
2024-05-16,9855.990877160604,0.0
2024-05-17,9855.990877160604,0.0
2024-05-18,9855.990877160604,0.0
2024-05-19,9855.990877160604,0.0
2024-05-20,9855.990877160604,0.0
2024-05-21,9855.990877160604,0.0
2024-05-22,9855.990877160604,0.0
2024-05-23,9855.990877160604,0.0
2024-05-24,9855.990877160604,0.0
2024-05-25,9855.990877160604,0.0
2024-05-26,9855.990877160604,0.0
2024-05-27,9855.990877160604,0.0
2024-05-28,9855.990877160604,0.0
2024-05-29,9855.990877160604,0.0
2024-05-30,9855.990877160604,0.0
2024-05-31,9855.990877160604,0.0
2024-06-01,9855.990877160604,0.0
2024-06-02,9855.990877160604,0.0
2024-06-03,9855.990877160604,0.0
2024-06-04,9855.990877160604,0.0
2024-06-05,9855.990877160604,0.0
2024-06-06,9855.990877160604,0.0
2024-06-07,9855.990877160604,0.0
2024-06-08,9855.990877160604,0.0
2024-06-09,9855.990877160604,0.0
2024-06-10,9855.990877160604,0.0
2024-06-11,9855.990877160604,0.0
2024-06-12,9855.990877160604,0.0
2024-06-13,9855.990877160604,0.0
2024-06-14,9855.990877160604,0.0
2024-06-15,9855.990877160604,0.0
2024-06-16,9855.990877160604,0.0
2024-06-17,9855.990877160604,0.0
2024-06-18,9855.990877160604,0.0
2024-06-19,9855.990877160604,0.0
2024-06-20,9855.990877160604,0.0
2024-06-21,9855.990877160604,0.0
2024-06-22,9855.990877160604,0.0
2024-06-23,9855.990877160604,0.0
2024-06-24,9855.990877160604,0.0
2024-06-25,9855.990877160604,0.0
2024-06-26,9855.990877160604,0.0
2024-06-27,9855.990877160604,0.0
